iter	Passed	Remaining
0	1	117
1	2	116
2	3	112
3	4	109
4	5	108
5	6	102
6	7	96
7	8	92
8	8	89
9	9	86
10	10	83
11	11	82
12	11	80
13	12	78
14	13	76
15	14	74
16	15	73
17	15	72
18	16	70
19	17	69
20	18	68
21	18	67
22	20	67
23	20	66
24	21	65
25	22	64
26	23	62
27	23	61
28	24	60
29	25	59
30	26	58
31	27	57
32	27	56
33	28	55
34	29	54
35	30	53
36	30	52
37	31	51
38	32	50
39	33	49
40	34	49
41	34	47
42	35	47
43	36	46
44	37	45
45	37	44
46	38	43
47	39	42
48	40	41
49	41	41
50	41	40
51	42	39
52	43	38
53	44	37
54	44	36
55	45	35
56	45	34
57	46	33
58	47	33
59	49	32
60	50	32
61	51	31
62	52	31
63	54	30
64	55	29
65	56	28
66	56	28
67	57	27
68	58	26
69	59	25
70	60	24
71	60	23
72	61	22
73	62	21
74	63	21
75	64	20
76	65	19
77	65	18
78	66	17
79	67	16
80	68	16
81	69	15
82	69	14
83	70	13
84	71	12
85	72	11
86	73	10
87	73	10
88	74	9
89	75	8
90	76	7
91	77	6
92	77	5
93	78	5
94	79	4
95	80	3
96	81	2
97	81	1
98	82	0
99	83	0
