iter	Passed	Remaining
0	188	188734
1	191	95697
2	193	64380
3	195	48695
4	197	39310
5	199	33028
6	201	28551
7	204	25311
8	206	22752
9	208	20641
10	210	18915
11	211	17433
12	212	16138
13	213	15025
14	214	14062
15	214	13220
16	215	12477
17	216	11819
18	217	11229
19	219	10759
20	220	10276
21	221	9835
22	222	9433
23	222	9063
24	223	8723
25	224	8410
26	225	8118
27	226	7848
28	226	7596
29	227	7362
30	228	7142
31	229	6936
32	230	6743
33	231	6566
34	231	6394
35	233	6249
36	234	6106
37	235	5963
38	236	5826
39	237	5696
40	238	5571
41	239	5457
42	240	5342
43	242	5258
44	242	5152
45	243	5051
46	244	4954
47	245	4861
48	245	4772
49	246	4687
50	247	4604
51	248	4525
52	248	4448
53	249	4374
54	250	4303
55	251	4236
56	252	4170
57	252	4106
58	253	4044
59	254	3984
60	255	3926
61	257	3890
62	257	3836
63	258	3784
64	259	3733
65	260	3683
66	261	3635
67	261	3589
68	262	3543
69	263	3498
70	264	3456
71	265	3417
72	265	3377
73	266	3337
74	267	3298
75	268	3260
76	268	3224
77	269	3187
78	271	3165
79	272	3132
80	273	3099
81	273	3066
82	274	3030
83	275	2999
84	275	2969
85	276	2939
86	277	2910
87	278	2882
88	278	2855
89	279	2828
90	280	2801
91	281	2775
92	281	2750
93	282	2724
94	283	2700
95	284	2676
96	285	2660
97	286	2639
98	287	2616
99	288	2594
100	289	2573
101	289	2551
102	290	2530
103	291	2509
104	292	2489
105	292	2469
106	293	2450
107	294	2431
108	295	2411
109	295	2393
110	296	2375
111	297	2357
112	298	2339
113	298	2322
114	299	2305
115	301	2294
116	301	2276
117	302	2260
118	303	2244
119	303	2228
120	304	2212
121	305	2196
122	306	2182
123	306	2168
124	307	2153
125	308	2139
126	309	2124
127	309	2110
128	310	2097
129	311	2083
130	312	2070
131	312	2057
132	313	2045
133	316	2042
134	317	2031
135	317	2019
136	318	2006
137	319	1994
138	320	1982
139	320	1970
140	321	1959
141	322	1946
142	322	1935
143	323	1923
144	324	1912
145	325	1902
146	325	1891
147	326	1880
148	327	1869
149	328	1859
150	329	1852
151	330	1844
152	331	1836
153	332	1827
154	333	1817
155	334	1808
156	335	1800
157	336	1791
158	336	1782
159	337	1772
160	338	1762
161	338	1753
162	339	1744
163	340	1735
164	341	1726
165	342	1718
166	342	1710
167	343	1701
168	344	1695
169	345	1687
170	346	1679
171	347	1671
172	347	1663
173	348	1655
174	349	1647
175	350	1639
176	350	1631
177	351	1624
178	352	1616
179	353	1608
180	353	1601
181	354	1593
182	355	1586
183	356	1579
184	356	1572
185	358	1569
186	359	1563
187	360	1556
188	361	1549
189	362	1543
190	363	1537
191	364	1532
192	365	1526
193	366	1521
194	366	1514
195	367	1507
196	368	1501
197	369	1494
198	369	1488
199	370	1482
200	371	1476
201	372	1469
202	374	1468
203	374	1462
204	375	1456
205	376	1450
206	377	1444
207	377	1438
208	378	1433
209	379	1427
210	380	1421
211	380	1415
212	381	1410
213	382	1404
214	383	1398
215	383	1393
216	384	1387
217	385	1382
218	385	1376
219	386	1371
220	389	1371
221	390	1367
222	390	1362
223	391	1356
224	392	1351
225	393	1346
226	393	1341
227	394	1336
228	395	1331
229	396	1326
230	396	1321
231	397	1316
232	398	1311
233	399	1306
234	399	1301
235	400	1296
236	401	1292
237	402	1289
238	404	1286
239	404	1282
240	405	1277
241	406	1272
242	407	1268
243	407	1263
244	408	1259
245	409	1254
246	410	1250
247	410	1245
248	411	1241
249	412	1236
250	412	1232
251	413	1227
252	414	1223
253	415	1219
254	415	1215
255	416	1211
256	418	1211
257	420	1208
258	421	1204
259	422	1201
260	423	1198
261	424	1195
262	425	1192
263	426	1188
264	427	1185
265	428	1181
266	429	1178
267	430	1175
268	431	1172
269	433	1172
270	434	1169
271	435	1165
272	436	1161
273	437	1157
274	437	1154
275	438	1150
276	439	1147
277	440	1143
278	441	1140
279	442	1137
280	443	1133
281	443	1129
282	444	1126
283	445	1123
284	446	1119
285	448	1119
286	449	1115
287	449	1112
288	450	1108
289	451	1105
290	452	1101
291	452	1098
292	453	1094
293	454	1091
294	455	1088
295	456	1084
296	456	1081
297	457	1077
298	458	1074
299	459	1071
300	459	1067
301	460	1064
302	461	1061
303	463	1060
304	464	1057
305	464	1054
306	465	1051
307	466	1048
308	467	1044
309	467	1041
310	468	1038
311	469	1035
312	470	1031
313	470	1028
314	471	1025
315	472	1022
316	473	1019
317	473	1016
318	474	1013
319	475	1010
320	476	1007
321	477	1005
322	478	1002
323	479	999
324	479	996
325	480	993
326	481	990
327	482	988
328	482	985
329	483	982
330	484	979
331	485	976
332	485	973
333	486	970
334	487	968
335	489	966
336	489	963
337	491	962
338	492	959
339	492	956
340	493	954
341	494	951
342	495	948
343	495	945
344	496	942
345	497	940
346	498	937
347	498	934
348	499	931
349	500	929
350	501	926
351	501	923
352	502	921
353	503	918
354	504	915
355	504	913
356	505	911
357	506	908
358	507	905
359	508	903
360	508	900
361	509	898
362	510	895
363	511	893
364	511	890
365	512	888
366	513	885
367	514	883
368	515	880
369	515	878
370	516	875
371	517	873
372	518	870
373	519	869
374	520	867
375	521	865
376	522	863
377	523	861
378	524	858
379	525	856
380	525	854
381	526	851
382	527	849
383	528	847
384	528	844
385	529	842
386	530	840
387	531	837
388	531	835
389	532	833
390	534	832
391	535	830
392	536	827
393	536	825
394	537	823
395	538	820
396	539	818
397	539	816
398	540	814
399	541	812
400	542	809
401	542	807
402	543	805
403	544	803
404	545	800
405	545	798
406	546	796
407	547	794
408	548	791
409	549	790
410	550	788
411	551	786
412	551	784
413	552	782
414	553	779
415	554	777
416	554	775
417	555	773
418	556	771
419	557	769
420	557	767
421	558	765
422	559	762
423	560	760
424	560	758
425	561	756
426	562	754
427	564	754
428	565	752
429	565	750
430	566	747
431	567	745
432	568	743
433	568	741
434	569	739
435	570	737
436	571	735
437	571	733
438	572	731
439	573	729
440	574	727
441	574	725
442	575	723
443	576	721
444	577	719
445	578	719
446	579	717
447	580	715
448	581	713
449	582	711
450	582	709
451	583	707
452	584	705
453	584	703
454	585	701
455	586	699
456	587	697
457	587	695
458	588	693
459	589	691
460	590	690
461	590	688
462	591	686
463	592	684
464	593	682
465	594	680
466	594	679
467	595	677
468	596	675
469	597	673
470	597	671
471	598	669
472	599	667
473	600	665
474	600	664
475	601	662
476	602	660
477	603	658
478	603	656
479	604	655
480	605	653
481	606	651
482	607	650
483	608	648
484	609	647
485	610	645
486	611	643
487	612	642
488	613	640
489	614	639
490	614	637
491	615	635
492	616	634
493	617	632
494	618	631
495	619	629
496	622	630
497	624	629
498	625	627
499	626	626
500	627	624
501	628	623
502	629	621
503	629	619
504	630	618
505	631	616
506	632	614
507	632	613
508	633	611
509	634	609
510	635	607
511	637	607
512	638	605
513	638	604
514	639	602
515	640	600
516	641	598
517	641	597
518	642	595
519	643	593
520	644	592
521	644	590
522	645	588
523	646	587
524	647	585
525	647	583
526	648	582
527	649	580
528	650	578
529	652	578
530	652	576
531	653	574
532	654	573
533	655	571
534	655	570
535	656	568
536	657	566
537	658	565
538	658	563
539	659	561
540	660	560
541	661	558
542	661	557
543	662	555
544	663	553
545	664	552
546	664	550
547	666	549
548	667	548
549	668	546
550	669	545
551	669	543
552	670	542
553	671	540
554	672	538
555	672	537
556	673	535
557	674	534
558	674	532
559	675	530
560	676	529
561	677	527
562	677	526
563	678	524
564	679	523
565	680	521
566	681	520
567	681	518
568	682	517
569	683	515
570	684	513
571	684	512
572	685	510
573	686	509
574	687	507
575	687	506
576	688	504
577	689	503
578	690	501
579	690	500
580	691	498
581	692	497
582	693	495
583	695	495
584	696	493
585	697	492
586	697	491
587	698	489
588	699	488
589	700	486
590	701	485
591	702	483
592	702	482
593	703	480
594	704	479
595	705	477
596	705	476
597	706	475
598	707	473
599	710	473
600	711	472
601	712	470
602	712	469
603	713	467
604	714	466
605	714	464
606	715	463
607	716	461
608	717	460
609	717	459
610	718	457
611	719	456
612	720	454
613	721	453
614	721	451
615	722	450
616	723	448
617	725	448
618	726	446
619	726	445
620	727	444
621	728	442
622	729	441
623	729	439
624	730	438
625	731	436
626	732	435
627	732	434
628	733	432
629	734	431
630	735	429
631	735	428
632	736	427
633	737	425
634	738	424
635	740	423
636	740	422
637	741	420
638	742	419
639	743	417
640	743	416
641	744	415
642	745	413
643	746	412
644	746	411
645	747	409
646	748	408
647	749	406
648	749	405
649	750	404
650	751	402
651	752	401
652	752	400
653	754	399
654	755	397
655	756	396
656	757	395
657	757	393
658	758	392
659	759	391
660	760	389
661	760	388
662	761	387
663	762	385
664	763	384
665	763	383
666	764	381
667	765	380
668	766	379
669	766	377
670	767	376
671	769	375
672	770	374
673	771	373
674	771	371
675	772	370
676	773	369
677	774	367
678	774	366
679	775	365
680	776	363
681	777	362
682	778	361
683	778	359
684	779	358
685	780	357
686	781	355
687	781	354
688	782	353
689	784	352
690	785	351
691	786	349
692	787	348
693	788	347
694	788	346
695	789	345
696	790	343
697	791	342
698	792	341
699	792	339
700	793	338
701	794	337
702	795	335
703	795	334
704	796	333
705	797	332
706	799	331
